Name;Type;Description
_01xF;Negative;Subject goes rogue, caused by: Innapropriate Material, Mental Illness
_02xF;Negative;Subject becomes Mentally Disturbed
_03xF;Negative;Subject unphased
_04xF;[REDACTED];[REDACTED]
_05xF;[REDACTED];[REDACTED]
_06xF;[REDACTED];[REDACTED]
_07xF;[REDACTED];[REDACTED]
_08xF;[REDACTED];[REDACTED]
_09xF;[REDACTED];[REDACTED]
_10xF;[REDACTED];[REDACTED]
_11xF;[REDACTED];[REDACTED]
_12xF;[REDACTED];[REDACTED]
_13xF;[REDACTED];[REDACTED]
_14xF;[REDACTED];[REDACTED]
_15xF;[REDACTED];[REDACTED]
_16xF;[REDACTED];[REDACTED]
_17xF;[REDACTED];[REDACTED]
_18xF;[REDACTED];[REDACTED]
_19xF;[REDACTED];[REDACTED]
_20xF;Positive;Subject obeys to Non-Violent Commands
_21xF;Positive;Subject gets attached to Group-Leader (Stockholm?)
_22xF;Positive;Subject obeys only to Violent Commands
_23xF;Positive;Subject obeys to all Commands
_24xF;Positive;Subject gets attached to Group-Leader (Stockholm?) and obeys all commands.
